ID	Species	DistributionName	Parameter1Name	Parameter1Value	Parameter2Name	Parameter2Value	Parameter3Name	Parameter3Value	Loglikelihood	AIC	Loglikelihood_Empirical	AIC_Empirical	MaxNestSize
562	Whitefrontedgoose2	NegativeBinomial	m 	5.304	k	10670000.000			-13.891	27.782	-6.554	27.108	8
563	SpectacledEider1	NegativeBinomial	m 	3.919	k	15047000.000			-17.066	34.132	-6.714	23.429	6
564	SpectacledEider2	NegativeBinomial	m 	4.656	k	11199000.000			-32.342	64.684	-9.588	33.176	8
565	SpectacledEider3	NegativeBinomial	m 	4.375	k	15102000.000			-19.948	39.896	-7.351	26.701	7
566	SpectacledEider4	NegativeBinomial	m 	4.666	k	28806000.000			-19.432	38.864	-8.426	28.851	7
567	CaspianTern5	NegativeBinomial	m 	2.360	k	11987000.000			-128.420	256.840	-5.329	14.659	3
568	CaspianTern6	NegativeBinomial	m 	2.216	k	9896800.000			-22.016	44.032	-3.520	11.039	3
569	CaspianTern7	NegativeBinomial	m 	2.376	k	11987000.000			-99.319	198.638	-5.034	14.068	3
570	CaspianTern8	NegativeBinomial	m 	2.181	k	15789000.000			-46.713	93.426	-4.285	12.571	3
571	CaspianTern9	NegativeBinomial	m 	1.736	k	5579300.000			-190.260	380.520	-4.883	13.766	3
572	CaspianTern10	NegativeBinomial	m 	1.957	k	9988100.000			-430.280	860.560	-6.022	16.044	3
573	CaspianTern11	NegativeBinomial	m 	1.965	k	11619000.000			-344.160	688.320	-5.900	15.801	3
574	CaspianTern12	NegativeBinomial	m 	1.936	k	11151000.000			-172.940	345.880	-6.128	16.256	3
575	CaspianTern13	NegativeBinomial	m 	2.000	k	11541000.000			-32.671	65.342	0.000	2.000	2
576	CaspianTern14	NegativeBinomial	m 	1.963	k	14973000.000			-57.054	114.108	-4.979	13.959	3
577	CaspianTern15	NegativeBinomial	m 	2.461	k	16695000.000			-615.650	1231.300	-6.714	17.428	3
578	CaspianTern16	NegativeBinomial	m 	2.456	k	21394000.000			-730.200	1460.400	-6.743	17.485	3
579	GreatCormorant	NegativeBinomial	m 	4.437	k	28237000.000			-74.942	149.884	-7.313	24.626	6
580	DoubleCrestedCormorant1	NegativeBinomial	m 	3.614	k	12799000.000			-35.558	71.116	-6.380	20.761	5
581	DoubleCrestedCormorant2	NegativeBinomial	m 	3.174	k	18737000.000			-68.785	137.570	-7.609	23.218	5
582	DoubleCrestedCormorant4	NegativeBinomial	m 	3.818	k	13362000.000			-25.991	51.982	-4.544	17.088	5
583	DoubleCrestedCormorant7	NegativeBinomial	m 	3.028	k	15534000.000			-49.730	99.460	-7.559	23.118	5
584	DoubleCrestedCormorant8	NegativeBinomial	m 	2.924	k	11516000.000			-33.583	67.166	-7.191	22.382	5
585	DoubleCrestedCormorant9	NegativeBinomial	m 	2.855	k	12766000.000			-24.293	48.586	-7.091	22.182	5
586	DoubleCrestedCormorant10	NegativeBinomial	m 	3.077	k	11926000.000			-29.275	58.550	-6.835	21.670	5
587	EaredGrebe	NegativeBinomial	m 	3.371	k	20861000.000			-21.924	43.848	-3.113	12.226	4
588	HouseWren1	NegativeBinomial	m 	6.809	k	18154000.000			-127.960	255.920	-8.619	33.238	9
589	HouseWren2	NegativeBinomial	m 	5.940	k	18526000.000			-117.250	234.500	-8.329	30.658	8
590	HouseWren3	NegativeBinomial	m 	7.091	k	36702000.000			-150.250	300.500	-9.498	34.996	9
591	HouseWren4	NegativeBinomial	m 	5.925	k	22224000.000			-118.240	236.480	-9.676	33.352	8
592	HouseWren5	NegativeBinomial	m 	6.896	k	15195000.000			-167.840	335.680	-7.918	31.835	9
593	HouseWren6	NegativeBinomial	m 	5.465	k	15534000.000			-95.488	190.976	-8.765	29.530	7
594	HouseWren7	NegativeBinomial	m 	6.130	k	17814000.000			-124.070	248.140	-9.763	33.526	8
595	NorthernHarrier1	NegativeBinomial	m 	4.445	k	8987500.000			-14.818	29.636	-7.673	29.345	8
596	PrairieFalcon1	NegativeBinomial	m 	4.300	k	15784000.000			-22.470	44.940	-5.332	20.664	6
597	PrairieFalcon2	NegativeBinomial	m 	4.527	k	18438000.000			-30.174	60.348	-5.829	21.658	6
598	Redwingblackbird1	NegativeBinomial	m 	3.496	k	15014000.000			-85.344	170.688	-5.794	19.587	5
599	Redwingblackbird2	NegativeBinomial	m 	3.321	k	8238900.000			-69.726	139.452	-5.644	19.288	5
600	SnowyEgret	NegativeBinomial	m 	3.941	k	15745000.000			-81.521	163.042	-5.858	19.716	5
601	CattleEgret	NegativeBinomial	m 	3.506	k	17074000.000			-51.591	103.182	-7.631	25.262	6
602	LittleBlueHeron	NegativeBinomial	m 	4.690	k	26800000.000			-44.533	89.066	-5.381	20.763	6
603	TricoloredHeron1	NegativeBinomial	m 	4.195	k	16403000.000			-29.984	59.968	-4.415	18.830	6
604	TricoloredHeron2	NegativeBinomial	m 	2.980	k	18501000.000			-60.255	120.510	-5.570	19.141	5
605	WillowPtarmigan	NegativeBinomial	m 	10.484	k	27538000.000			-26.495	52.990	-7.236	38.471	13
606	YellowWarbler1	NegativeBinomial	m 	4.630	k	23131000.000			-114.440	228.880	-5.344	20.688	6
607	Redwingblackbird3	NegativeBinomial	m 	4.168	k	18813000.000			-118.840	237.680	-6.252	22.505	6
608	YellowWarbler2	NegativeBinomial	m 	4.485	k	32349000.000			-33.096	66.192	-2.949	13.898	5
609	YellowWarbler3	NegativeBinomial	m 	4.481	k	15416000.000			-55.243	110.486	-2.205	12.411	5
610	YellowWarbler4	NegativeBinomial	m 	4.441	k	16255000.000			-52.958	105.916	-3.828	15.656	5
611	YellowWarbler5	NegativeBinomial	m 	4.551	k	28438000.000			-50.139	100.278	-3.142	14.285	5
612	YellowWarbler6	NegativeBinomial	m 	4.454	k	16647000.000			-70.342	140.684	-3.978	15.957	5
613	YellowWarbler7	NegativeBinomial	m 	4.392	k	12488000.000			-91.988	183.976	-4.228	16.457	5
614	YellowWarbler8	NegativeBinomial	m 	4.409	k	21090000.000			-121.850	243.700	-4.539	17.077	5
615	YellowWarbler9	NegativeBinomial	m 	4.486	k	14400000.000			-158.360	316.720	-5.904	19.808	5
616	YellowWarbler10	NegativeBinomial	m 	4.368	k	16383000.000			-104.670	209.340	-4.637	17.274	5
617	YellowWarbler11	NegativeBinomial	m 	4.591	k	14562000.000			-180.000	360.000	-5.937	19.873	5
618	BarnSwallow2	NegativeBinomial	m 	4.306	k	22497000.000			-23.992	47.984	-5.979	21.958	6
619	BarnSwallow3	NegativeBinomial	m 	4.582	k	16942000.000			-25.921	51.842	-7.318	24.637	6
620	BarnSwallow4	NegativeBinomial	m 	4.852	k	37068000.000			-27.937	55.874	-5.482	20.964	6
621	WoodStork1	NegativeBinomial	m 	3.227	k	10758000.000			-61.240	122.480	-4.752	15.504	4
622	WoodStork2	NegativeBinomial	m 	3.045	k	11595000.000			-42.203	84.406	-4.155	16.309	5
623	WoodStork3	NegativeBinomial	m 	2.677	k	8946200.000			-54.429	108.858	-3.613	11.226	3
624	WoodStork4	NegativeBinomial	m 	2.732	k	16558000.000			-38.952	77.904	-1.970	7.940	3
625	WoodStork5	NegativeBinomial	m 	2.706	k	17042000.000			-59.406	118.812	-3.464	10.928	3
626	WoodStork6	NegativeBinomial	m 	2.667	k	12229000.000			-49.868	99.736	-4.731	15.463	4
627	WoodStork7	NegativeBinomial	m 	2.881	k	5989300.000			-77.185	154.370	-3.757	13.514	4
628	WoodStork8	NegativeBinomial	m 	2.960	k	14888000.000			-28.840	57.680	-2.243	10.487	4
629	WoodStork9	NegativeBinomial	m 	2.545	k	15823000.000			-14.637	29.274	-3.684	13.368	4
630	WoodStork10	NegativeBinomial	m 	3.083	k	15102000.000			-45.802	91.604	-1.453	8.905	4
631	WoodStork11	NegativeBinomial	m 	2.946	k	19127000.000			-52.092	104.184	-3.425	12.851	4
632	WoodStork12	NegativeBinomial	m 	2.872	k	17762000.000			-37.723	75.446	-4.011	14.022	4
633	WoodStork13	NegativeBinomial	m 	3.298	k	28035000.000			-63.525	127.050	-4.178	14.356	4
634	WoodStork14	NegativeBinomial	m 	3.076	k	14679000.000			-94.792	189.584	-5.016	16.031	4
635	WoodStork15	NegativeBinomial	m 	3.096	k	11046000.000			-62.147	124.294	-4.242	14.484	4
636	WoodStork16	NegativeBinomial	m 	2.826	k	13764000.000			-21.262	42.524	-2.590	11.181	4
637	WoodStork17	NegativeBinomial	m 	3.118	k	15124000.000			-75.127	150.254	-5.585	17.170	4
638	WoodStork18	NegativeBinomial	m 	3.056	k	19488000.000			-111.880	223.760	-3.785	13.570	4
639	WoodStork19	NegativeBinomial	m 	2.981	k	15215000.000			-43.105	86.210	-4.580	15.159	4
640	WoodStork20	NegativeBinomial	m 	3.257	k	15568000.000			-33.430	66.860	-3.254	12.508	4
641	WoodStork21	NegativeBinomial	m 	2.917	k	16155000.000			-33.774	67.548	-3.795	13.591	4
642	WoodStork22	NegativeBinomial	m 	3.094	k	19741000.000			-45.657	91.314	-4.960	15.921	4
643	WoodStork23	NegativeBinomial	m 	2.928	k	14505000.000			-46.828	93.656	-4.510	15.019	4
644	WoodStork24	NegativeBinomial	m 	2.948	k	16940000.000			-66.961	133.922	-4.806	15.612	4
645	WoodStork25	NegativeBinomial	m 	3.235	k	16273000.000			-27.979	55.958	-4.082	16.163	5
646	WoodStork26	NegativeBinomial	m 	2.882	k	19483000.000			-42.527	85.054	-3.552	13.103	4
647	WoodStork27	NegativeBinomial	m 	3.020	k	18645000.000			-48.456	96.912	-3.272	12.544	4
648	WoodStork28	NegativeBinomial	m 	2.750	k	14390000.000			-63.945	127.890	-3.233	12.467	4
649	WoodStork29	NegativeBinomial	m 	2.911	k	16562000.000			-45.953	91.906	-3.856	13.711	4
650	WoodStork30	NegativeBinomial	m 	2.936	k	11045000.000			-82.703	165.406	-3.389	12.778	4
651	WoodStork31	NegativeBinomial	m 	2.891	k	13517000.000			-80.172	160.344	-3.838	13.676	4
652	NorthernCardinal1	NegativeBinomial	m 	2.485	k	13772000.000			-16.862	33.724	-4.899	15.798	4
653	NorthernCardinal2	NegativeBinomial	m 	2.538	k	18067000.000			-17.205	34.410	-4.132	14.265	4
654	NorthernCardinal3	NegativeBinomial	m 	2.231	k	7482400.000			-12.222	24.444	-4.341	14.683	4
655	NorthernCardinal4	NegativeBinomial	m 	2.343	k	17876000.000			-20.866	41.732	-3.523	11.046	3
656	NorthernCardinal5	NegativeBinomial	m 	2.479	k	15852000.000			-27.871	55.742	-4.787	15.574	4
657	NorthernCardinal6	NegativeBinomial	m 	2.811	k	11361000.000			-31.125	62.250	-3.158	12.316	4
658	FloridaScrubJay1	NegativeBinomial	m 	3.408	k	15324000.000			-23.748	47.496	-2.843	11.686	4
659	FloridaScrubJay2	NegativeBinomial	m 	3.220	k	10913000.000			-32.106	64.212	-4.367	16.733	5
660	FloridaScrubJay3	NegativeBinomial	m 	3.361	k	18242000.000			-26.411	52.822	-4.471	16.943	5
661	FloridaScrubJay4	NegativeBinomial	m 	3.585	k	24458000.000			-27.249	54.498	-4.988	17.975	5
662	FloridaScrubJay5	NegativeBinomial	m 	3.725	k	16870000.000			-31.957	63.914	-3.591	15.182	5
663	FloridaScrubJay6	NegativeBinomial	m 	3.312	k	2504300.000			-33.557	67.114	-4.502	17.003	5
664	FloridaScrubJay7	NegativeBinomial	m 	3.182	k	27066000.000			-23.092	46.184	-3.536	13.073	4
665	FloridaScrubJay8	NegativeBinomial	m 	3.260	k	28868000.000			-36.689	73.378	-3.802	13.605	4
666	FloridaScrubJay9	NegativeBinomial	m 	3.341	k	13520000.000			-31.377	62.754	-4.936	17.872	5
667	SagebrushLizard	NegativeBinomial	m 	3.877	k	17961000.000			-23.478	46.956	-8.937	29.874	7
668	NorthernSnappingTurtle	NegativeBinomial	m 	10.084	k	19921000.000			-22.761	45.522	-11.648	53.296	16
669	Ouachitamapturtle	NegativeBinomial	m 	11.323	k	24988000.000			-21.278	42.556	-11.121	54.243	17
670	Insularpitviper1	NegativeBinomial	m 	4.540	k	15196000.000			-17.257	34.514	-9.401	32.803	8
671	Insularpitviper2	NegativeBinomial	m 	3.613	k	14078000.000			-11.618	23.236	-8.417	28.834	7
672	Westernterrestrialgartnersnake	NegativeBinomial	m 	13.219	k	26.271			-28.622	57.244	-15.770	71.541	21
673	Redearedslider1	NegativeBinomial	m 	13.746	k	10463000.000			-36.371	72.742	-18.657	89.314	27
674	Redearedslider2	NegativeBinomial	m 	14.816	k	718.460			-48.934	97.868	-31.050	112.099	26
675	Redearedslider3	NegativeBinomial	m 	13.552	k	27503000.000			-42.834	85.668	-31.506	113.011	26
676	Redearedslider4	NegativeBinomial	m 	13.788	k	25416000.000			-40.516	81.032	-24.893	99.786	26
677	Redearedslider5	NegativeBinomial	m 	14.142	k	4902800.000			-58.698	117.396	-39.579	137.158	30
678	Redearedslider6	NegativeBinomial	m 	13.571	k	6657300.000			-58.972	117.944	-41.590	135.179	27
679	Redearedslider7	NegativeBinomial	m 	14.042	k	13351000.000			-31.550	63.100	-18.887	77.773	21
680	Redearedslider8	NegativeBinomial	m 	13.546	k	151.550			-62.330	124.660	-43.313	130.626	23
681	Redearedslider9	NegativeBinomial	m 	13.233	k	9996700.000			-54.124	108.248	-40.833	125.667	23
682	Redearedslider10	NegativeBinomial	m 	12.747	k	19217000.000			-29.523	59.046	-20.900	81.799	21
683	Redearedslider11	NegativeBinomial	m 	12.441	k	24371000.000			-25.674	51.348	-12.534	63.068	20
684	Redearedslider12	NegativeBinomial	m 	12.395	k	15779000.000			-27.187	54.374	-17.115	76.229	22
685	Redearedslider13	NegativeBinomial	m 	13.501	k	9317800.000			-28.620	57.240	-20.777	83.554	22
686	Redearedslider14	NegativeBinomial	m 	12.548	k	26299000.000			-27.469	54.938	-16.004	70.009	20
687	Redearedslider15	NegativeBinomial	m 	14.213	k	19507000.000			-36.094	72.188	-20.749	83.497	22
688	Redearedslider16	NegativeBinomial	m 	12.979	k	10168000.000			-35.275	70.550	-22.599	89.198	23
689	Redearedslider17	NegativeBinomial	m 	12.263	k	36333000.000			-47.226	94.452	-27.180	90.360	19
690	Redearedslider18	NegativeBinomial	m 	12.835	k	15830000.000			-43.794	87.588	-24.185	88.369	21
691	Redearedslider19	NegativeBinomial	m 	13.611	k	162.060			-31.948	63.896	-22.645	87.290	22
692	Redearedslider20	NegativeBinomial	m 	12.070	k	35672000.000			-25.134	50.268	-16.197	66.394	18
693	Redearedslider21	NegativeBinomial	m 	12.328	k	37768000.000			-29.167	58.334	-18.597	71.195	18
694	Redearedslider22	NegativeBinomial	m 	13.090	k	9001500.000			-35.158	70.316	-24.406	92.812	23
695	Walllizard1	NegativeBinomial	m 	9.405	k	16.514			-26.106	52.212	-17.412	66.824	17
696	IguanidLizard	NegativeBinomial	m 	2.640	k	10848000.000			-17.589	35.178	-3.069	12.138	4
697	Sixlinedracerunner1	NegativeBinomial	m 	5.889	k	8.752			-26.430	52.860	-13.541	51.081	13
698	Sixlinedracerunner2	NegativeBinomial	m 	3.689	k	21254000.000			-18.088	36.176	-8.052	26.104	6
699	Sixlinedracerunner3	NegativeBinomial	m 	2.550	k	11118000.000			-11.615	23.230	-3.982	13.964	4
700	Sixlinedracerunner4	NegativeBinomial	m 	3.042	k	11598000.000			-28.638	57.276	-7.059	22.119	5
701	Sixlinedracerunner5	NegativeBinomial	m 	3.542	k	11157000.000			-16.078	32.156	-4.953	19.905	6
702	SnowshoeHare	NegativeBinomial	m 	2.719	k	15577000.000			-15.406	30.812	-4.989	15.979	4
703	Mearnscottontailrabbit	NegativeBinomial	m 	5.704	k	10800000.000			-15.656	31.312	-7.859	31.719	9
704	MaskedShrew	NegativeBinomial	m 	7.906	k	26027000.000			-19.873	39.746	-10.049	42.099	12
705	Deermouse1	NegativeBinomial	m 	4.990	k	15218000.000			-58.883	117.766	-7.829	27.659	7
706	AfricanLion	NegativeBinomial	m 	2.432	k	11575000.000			-55.217	110.434	-7.941	21.882	4
707	CollaredPeccary	NegativeBinomial	m 	1.500	k	11221000.000			-13.141	26.282	-3.159	10.318	3
708	Whitefootedmouse	NegativeBinomial	m 	4.263	k	14656000.000			-41.215	82.430	-12.058	36.115	7
709	Wildmuskrat	NegativeBinomial	m 	7.151	k	18391000.000			-39.377	78.754	-14.285	50.569	12
710	Molerat	NegativeBinomial	m 	1.512	k	11083000.000			-38.261	76.522	-4.980	15.960	4
711	Prairievoles	NegativeBinomial	m 	3.873	k	18426000.000			-41.549	83.098	-10.345	32.689	7
712	Housemouse	NegativeBinomial	m 	5.831	k	8873800.000			-26.157	52.314	-14.346	50.692	12
713	Woodlandmouse	NegativeBinomial	m 	4.435	k	16848000.000			-15.182	30.364	-5.988	23.976	7
714	Westernharvestmouse	NegativeBinomial	m 	3.800	k	14198000.000			-16.557	33.114	-5.871	21.742	6
715	Deermouse2	NegativeBinomial	m 	4.311	k	16318000.000			-25.393	50.786	-4.069	18.137	6
716	Deermouse3	NegativeBinomial	m 	4.682	k	14072000.000			-13.051	26.102	-6.439	24.878	7
717	Deermouse4	NegativeBinomial	m 	5.576	k	15960000.000			-17.490	34.980	-9.160	34.321	9
718	BrownBandicoot	NegativeBinomial	m 	3.071	k	26511000.000			-17.382	34.764	-8.299	26.598	6
719	YellowMudTurtle1	NegativeBinomial	m 	6.328	k	21471000.000			-94.943	189.886	-11.301	38.602	9
720	YellowMudTurtle2	NegativeBinomial	m 	5.869	k	18565000.000			-24.962	49.924	-7.239	30.478	9
721	YellowMudTurtle3	NegativeBinomial	m 	5.963	k	20426000.000			-117.160	234.320	-14.669	45.337	9
722	YellowMudTurtle4	NegativeBinomial	m 	5.644	k	23636000.000			-117.070	234.140	-11.495	36.990	8
723	EasternPaintedTurtle1	NegativeBinomial	m 	14.654	k	23531000.000			-18.102	36.204	-11.754	61.507	20
724	EasternPaintedTurtle2	NegativeBinomial	m 	13.040	k	21960000.000			-22.827	45.654	-6.933	41.866	15
725	Eastern_Painted_Turtle3	NegativeBinomial	m 	8.445	k	18221000.000			-16.460	32.920	-10.133	46.267	14
726	Lesser_Scaup	NegativeBinomial	m 	9.696	k	40695000.000			-34.037	68.074	-10.848	47.696	14
727	Mute_Swan	NegativeBinomial	m 	4.903	k	11180000.000			-16.527	33.054	-9.393	36.786	10
728	GoldenEagle9	NegativeBinomial	m 	1.748	k	87.987			-11.161	22.322	-2.915	9.830	3
729	AmericanAvocet1	Hypergeometric	N	10.398	M	6.960	n	5.438	-34.233	68.466	-3.633	13.266	4
730	AmericanAvocet2	Hypergeometric	N	13.501	M	10.500	n	5.000	-41.977	83.954	-3.782	15.564	5
731	BankSwallow1	Hypergeometric	N	17.362	M	12.354	n	7.008	-15.792	31.584	-8.913	29.825	7
732	Cacklinggoose1	Hypergeometric	N	13900000.000	M	13.648	n	4376400.000	-43.967	87.934	-16.438	48.877	9
733	Cacklinggoose2	Hypergeometric	N	5115200.000	M	20.060	n	1013300.000	-54.708	109.416	-15.691	45.383	8
734	Cacklinggoose3	Hypergeometric	N	6589400.000	M	8.367	n	3193400.000	-36.749	73.498	-13.759	39.517	7
735	Cacklinggoose4	Hypergeometric	N	25502000.000	M	7.322	n	16573000.000	-27.956	55.912	-12.899	37.798	7
736	Blackbrant1	Hypergeometric	N	18335000.000	M	45.380	n	1116100.000	-17.664	35.328	-7.072	24.144	6
737	Blackbrant2	Hypergeometric	N	1062.200	M	137.590	n	27.127	-16.464	32.928	-8.985	29.970	7
738	Blackbrant3	Hypergeometric	N	10903000.000	M	2221400.000	n	13.470	-17.342	34.684	-7.709	25.419	6
739	Blackbrant4	Hypergeometric	N	22521.000	M	6.206	n	15013.000	-11.170	22.340	-6.680	23.361	6
740	Emperorgoose1	Hypergeometric	N	10957000.000	M	7.071	n	7596000.000	-7.691	15.382	-5.613	23.226	7
741	Emperorgoose2	Hypergeometric	N	30.359	M	11.299	n	11.299	-8.883	17.766	-6.091	24.182	7
742	Emperorgoose3	Hypergeometric	N	310.780	M	6.000	n	237.800	-5.655	11.309	-5.327	20.654	6
743	Whitefrontedgoose1	Hypergeometric	N	11740000.000	M	5562100.000	n	9.585	-12.347	24.694	-6.894	25.789	7
744	Whitefrontedgoose2	Hypergeometric	N	31.423	M	8.530	n	19.542	-7.517	15.035	-6.554	27.108	8
745	SpectacledEider1	Hypergeometric	N	13325000.000	M	8646000.000	n	6.038	-10.306	20.612	-6.714	23.429	6
746	SpectacledEider2	Hypergeometric	N	745.460	M	433.930	n	8.000	-20.589	41.178	-9.588	33.176	8
747	SpectacledEider3	Hypergeometric	N	12403000.000	M	8.563	n	6349400.000	-17.893	35.786	-7.351	26.701	7
748	SpectacledEider4	Hypergeometric	N	21922000.000	M	8.350	n	12251000.000	-16.189	32.378	-8.426	28.851	7
749	CaspianTern5	Hypergeometric	N	9.464	M	7.455	n	3.000	-6.080	12.159	-5.329	14.659	3
750	CaspianTern6	Hypergeometric	N	7.631	M	5.628	n	3.003	-3.560	7.120	-3.520	11.039	3
751	CaspianTern7	Hypergeometric	N	11.044	M	8.763	n	3.000	-5.466	10.932	-5.034	14.068	3
752	CaspianTern8	Hypergeometric	N	9.700	M	7.082	n	3.000	-5.715	11.429	-4.285	12.571	3
753	CaspianTern9	Hypergeometric	N	5.165	M	3.000	n	3.113	-23.116	46.232	-4.883	13.766	3
754	CaspianTern10	Hypergeometric	N	5.532	M	3.516	n	3.016	-45.192	90.384	-6.022	16.044	3
755	CaspianTern11	Hypergeometric	N	5.579	M	3.535	n	3.044	-32.558	65.116	-5.900	15.801	3
756	CaspianTern12	Hypergeometric	N	5.902	M	3.766	n	3.050	-9.752	19.504	-6.128	16.256	3
757	CaspianTern13	Hypergeometric	N	4.419	M	4.776	n	1.418	0.000	0.000	0.000	2.000	2
758	CaspianTern14	Hypergeometric	N	6.293	M	4.134	n	3.000	-6.117	12.233	-4.979	13.959	3
759	CaspianTern15	Hypergeometric	N	11.285	M	9.267	n	3.000	-12.994	25.988	-6.714	17.428	3
760	CaspianTern16	Hypergeometric	N	16.611	M	13.534	n	3.000	-10.819	21.638	-6.743	17.485	3
761	GreatCormorant	Hypergeometric	N	15.258	M	11.255	n	6.000	-10.905	21.810	-7.313	24.626	6
762	DoubleCrestedCormorant1	Hypergeometric	N	14.505	M	10.472	n	5.000	-8.855	17.709	-6.380	20.761	5
763	DoubleCrestedCormorant2	Hypergeometric	N	10.887	M	5.001	n	6.886	-10.518	21.036	-7.609	23.218	5
764	DoubleCrestedCormorant4	Hypergeometric	N	12.532	M	9.532	n	5.000	-6.617	13.233	-4.544	17.088	5
765	DoubleCrestedCormorant7	Hypergeometric	N	12.413	M	7.498	n	5.000	-12.130	24.260	-7.559	23.118	5
766	DoubleCrestedCormorant8	Hypergeometric	N	13.998	M	8.175	n	5.000	-10.387	20.774	-7.191	22.382	5
767	DoubleCrestedCormorant9	Hypergeometric	N	38.921	M	22.218	n	5.000	-14.400	28.800	-7.091	22.182	5
768	DoubleCrestedCormorant10	Hypergeometric	N	16.675	M	10.252	n	5.000	-9.774	19.547	-6.835	21.670	5
769	EaredGrebe	Hypergeometric	N	10.504	M	8.504	n	4.000	-3.690	7.379	-3.113	12.226	4
770	HouseWren1	Hypergeometric	N	24.328	M	9.000	n	18.328	-25.838	51.676	-8.619	33.238	9
771	HouseWren2	Hypergeometric	N	15.468	M	11.466	n	8.002	-10.082	20.164	-8.329	30.658	8
772	HouseWren3	Hypergeometric	N	23.401	M	9.000	n	18.401	-25.525	51.050	-9.498	34.996	9
773	HouseWren4	Hypergeometric	N	19.868	M	14.692	n	8.000	-21.118	42.236	-9.676	33.352	8
774	HouseWren5	Hypergeometric	N	16.909	M	9.000	n	12.909	-20.084	40.168	-7.918	31.835	9
775	HouseWren6	Hypergeometric	N	22.869	M	17.855	n	7.000	-9.456	18.911	-8.765	29.530	7
776	HouseWren7	Hypergeometric	N	22.850	M	17.507	n	8.000	-12.165	24.330	-9.763	33.526	8
777	NorthernHarrier1	Hypergeometric	N	71.261	M	34.502	n	9.179	-11.385	22.770	-7.673	29.345	8
778	PrairieFalcon1	Hypergeometric	N	24.456	M	17.522	n	6.000	-10.239	20.478	-5.332	20.664	6
779	PrairieFalcon2	Hypergeometric	N	26.472	M	19.957	n	6.000	-11.580	23.160	-5.829	21.658	6
780	Redwingblackbird1	Hypergeometric	N	9.805	M	6.805	n	5.000	-12.423	24.846	-5.794	19.587	5
781	Redwingblackbird2	Hypergeometric	N	8.765	M	5.632	n	5.132	-8.880	17.760	-5.644	19.288	5
782	SnowyEgret	Hypergeometric	N	14.015	M	11.015	n	5.000	-13.130	26.260	-5.858	19.716	5
783	CattleEgret	Hypergeometric	N	16.530	M	9.778	n	6.000	-15.866	31.732	-7.631	25.262	6
784	LittleBlueHeron	Hypergeometric	N	13.763	M	10.734	n	6.000	-6.264	12.527	-5.381	20.763	6
785	TricoloredHeron1	Hypergeometric	N	9.863	M	6.844	n	6.019	-5.370	10.740	-4.415	18.830	6
786	TricoloredHeron2	Hypergeometric	N	8.248	M	5.000	n	5.008	-7.267	14.535	-5.570	19.141	5
787	WillowPtarmigan	Hypergeometric	N	224.960	M	14.164	n	166.500	-16.214	32.428	-7.236	38.471	13
788	YellowWarbler1	Hypergeometric	N	13.024	M	10.015	n	6.000	-24.671	49.342	-5.344	20.688	6
789	Redwingblackbird3	Hypergeometric	N	9.675	M	6.621	n	6.055	-15.517	31.034	-6.252	22.505	6
790	YellowWarbler2	Hypergeometric	N	11.697	M	9.126	n	5.571	-6.815	13.630	-2.949	13.898	5
791	YellowWarbler3	Hypergeometric	N	10.819	M	9.819	n	5.000	-2.545	5.091	-2.205	12.411	5
792	YellowWarbler4	Hypergeometric	N	11.653	M	9.162	n	5.492	-8.678	17.356	-3.828	15.656	5
793	YellowWarbler5	Hypergeometric	N	22.748	M	20.695	n	5.000	-3.663	7.325	-3.142	14.285	5
